Title,Listing,Price,Reg_year,Mileage,Fuel,Body_type,Location,Transmission,No_of_seats,Cylinders,No_of_owners
Volvo V50 2.0 D R-Design SE Sport 5dr,In good running order,1990,2008.0,107000,Diesel,Estate, windlesham,Manual,5,2.0L,3 owners
Audi A3 1.8 T Sport quattro 5dr,,995,2001.0,93095,Petrol,Hatchback, maidenhead,Manual,5,2.0L,
Ford Fiesta 1.25 Zetec 3dr,,1000,2004.0,102000,Petrol,Hatchback, wokingham,Manual,5,1.8L,
Ford Kuga TITANIUM TDCI 2.0 5dr,"Two Owners,Just Serviced.",4650,2008.0,45546,Diesel,SUV, maidenhead,Manual,5,1.25L,2 owners
BMW 3 Series 320D SPORT 2.0 4dr,"Privacy Glass, Bluetooth",11200,2015.0,47647,Diesel,Saloon,waltham cross,Automatic,5,2.0L,
BMW 5 Series 2.0 520i SE 4dr,49k from New,1790,1993.0,49101,Petrol,Saloon, walsall,Manual,0,2.0L,5 owners
Chrysler PT Cruiser 2.0 Classic 5dr,PART EX TO CLEAR,675,2003.0,126235,Petrol,Hatchback, pershore,Manual,5,2.0L,5 owners
Ford Fiesta 1.4 Zetec Blue Edition 5dr,,725,2008.0,134823,Petrol,Hatchback, basingstoke,Manual,5,1.4L,
Ford Focus 2.0 Ghia 5dr,12 months mot.,975,2006.0,119000,Petrol,Hatchback, oxford,Manual,5,2.0L,
Honda Cr-V 2.0 i-VTEC Sport 5dr,SUNROOF-SERVICE HISTORY-Y.MOT,1490,2005.0,155000,Petrol,SUV, milton keynes,Manual,5,2.0L,
Volkswagen Touareg 3.2 V6 Sport 5dr,GREY WITH CREAM LEATHER,2950,2007.0,79000,Petrol,SUV, luton,Automatic,5,3.2L,
Mazda 6 D Ts 2.2 5dr,FREE DELIVERY*,2500,2010.0,89605,Diesel,Estate, watford,Manual,5,2.2L,
"Jaguar X-Type 2.0 D Sport Saloon 4dr Diesel Manual (149 g/km, …",WARRANTY-FULL HISTORY-YEAR MOT,1499,2005.0,91500,Diesel,Saloon, milton keynes,Manual,5,2.0L,
Hyundai Coupe 1.6 S 3dr,"Low mileage, low insurance ",1075,2005.0,65000,Petrol,Coupe, poplar,Manual,4,1.6L,3 owners
MINI Hatch 1.6 Cooper 3dr,Chilli edition,1300,2007.0,103000,Petrol,Hatchback, uxbridge,Manual,4,1.6L,
Audi A3 SPORTBACK TDI QUATTRO S LINE 2.0 5dr,"Euro 6,Sat Nav,Heated Seats.",13850,2014.0,51000,Diesel,Hatchback, maidenhead,Automatic,5,2.0L,
Suzuki Swift 1.4 BoosterJet Sport 5dr,Supplied From New - Part Ex,10990,2018.0,11421,Petrol,Hatchback, fareham,Manual,5,1.4L,
Honda New 2017 Civic 5-Door 1.5 VTEC TURBO Sport 5dr,NEW SHAPE CIVIC 1.5 SPORT,13555,2017.0,26366,Petrol,Hatchback,slough,Manual,5,1.5L,
BMW 3 Series 1.8 316i SE 4dr,MOT JULY 2020 - AUTOMATIC,995,2002.0,57187,Petrol,Saloon, waltham abbey,Automatic,5,1.8L,
MINI Hatch 1.6 One 3dr,low miles sunroof,1995,2004.0,61000,Petrol,Hatchback, dunstable,Manual,4,1.6L,3 owners
Peugeot 4007 2.2 HDi SE 5dr,FREE DELIVERY LIMITED OFFER,2495,2010.0,123000,Diesel,SUV, battersea,Manual,7,2.2L,
Renault Espace 2.0 T Expression 5dr,WARRANTY-YR MOT-AUTO-F HISTORY,1500,2005.0,95000,Petrol,MPV, milton keynes,Automatic,7,2.0L,
Peugeot 206 CC 1.6 Allure 2dr (a/c),LOW MILEAGE CAR,890,2003.0,169000,Petrol,Convertible, walsall,Manual,4,1.6L,
Rover 75 2.0 CDTi Connoisseur SE 4dr,,350,2004.0,130000,Diesel,Saloon, milton keynes,Manual,5,2.0L,
Ford Ranger 2.5 TDCi XLT Double Cab 4x4 4dr,PRIVATE PLATE / LOW MILES!,2949,2006.0,100000,Diesel,Pickup, high wycombe,Manual,4,2.5L,
Ford Focus 1.6 Titanium 5dr,"Low Mileage, Good first car",995,2007.0,67000,Petrol,Hatchback, leicester,Manual,5,1.6L,
Volkswagen Golf 1.9 TDI S 5dr,"Alloys Wheel, Superb Runner",950,2004.0,134000,Diesel,Hatchback, lower edmonton,Manual,5,1.9L,5 owners
Toyota Prius 1.5 T3 CVT 5dr,,979,2009.0,287000,Hybrid,Hatchback, south tottenham,Automatic,5,1.5L,
Jeep Grand Cherokee V6 CRD OVERLAND 3.0 5dr,"EURO 6,Panoramic Roof,Sat Nav.",15750,2016.0,91000,Diesel,SUV, maidenhead,Automatic,5,3.0L,
Mercedes-Benz B Class B180 CDI BLUEEFFICIENCY SPORT 1.5 5dr,"Sat Nav Ready, Artico Leather",7100,2014.0,48439,Diesel,Hatchback, waltham cross,Manual,5,1.5L,
Ford KA+ STUDIO 1.2 5dr,"Bluetooth, Alloy Wheels",5600,2017.0,22107,Petrol,Hatchback,west malling,Manual,5,1.2L,
Vauxhall Astra 1.6 16v Exclusiv Auto 5dr,,2300,2011.0,80000,Petrol,Hatchback, south tottenham,Automatic,5,1.6L,
Chrysler Sebring 2.0 CRD Limited 4dr,Black Manual low mileage ,999,2008.0,110000,Diesel,Saloon, None,Manual,5,2.0L,4 owners
BMW X5 4.4 i Sport 5dr,MONSTER OF A CAR+MARCH2021MOT,1495,2001.0,93000,Petrol,SUV, bristol,Automatic,5,4.4L,
Buick Special 2002 Buick Rendezvous 3.4,,1550,,117924,Petrol,, south bank,Automatic,0,,2 owners
Citroen C4 1.6 VTR PLUS E-HDI EGS CHEAPEST AUTOMATIC FULL SER …,BLUETOOTH+1 FORMER KEEPER ONLY,2949,2011.0,72000,Diesel,Hatchback, chelmsford,Automatic,5,,
Jaguar XF 2.7 TD Premium Luxury 4dr,Part service history ,1850,2008.0,78000,Diesel,Saloon, sevenoaks,Automatic,5,1.6L,3 owners
MINI Hatch 1.4 One 3dr,full service history,2295,2007.0,85842,Petrol,Hatchback, dunstable,Manual,4,2.7L,
Ford Fiesta 1.4 ZETEC CLIMATE 16V 5d 80 BHP - WHOLESALE …,ONLY TWO OWNERS!!!,1290,2006.0,127215,Petrol,Hatchback, tonbridge,Manual,5,1.4L,
Vauxhall Insignia 2.0 TECH LINE CDTI ECOFLEX S/S CHEAPEST …,FINANCE ME NOW ON LOW RATE,3989,2013.0,122440,Diesel,Hatchback, chelmsford,Manual,5,1.4L,
BMW 3 SERIES 2.0 320I SE TOURING 5d 168 BHP SPARES AND REPAIRS,DAB+CRUISE+AUX IN+MANUAL,1984,2009.0,91000,Petrol,Estate, luton,Manual,5,2.0L,
Mitsubishi Outlander PHEV GX 4H 2.0 5dr,Full Service History,10995,2014.0,48439,Hybrid,SUV, maidenhead,Automatic,5,2.0L,
MINI Hatchback COOPER 1.5 5dr,"Chili Pack, Bluetooth",7900,2017.0,73411,Petrol,Hatchback,waltham cross,Manual,5,1.5L,
Volvo V50 2.0 D R-Design SE Sport 5dr,In good running order,1990,2008.0,134000,Diesel,Estate, windlesham,Manual,5,2.0L,3 owners
Vauxhall Astra 1.6 16v SRi Auto 5dr,,3888,2011.0,60000,Petrol,Hatchback, slough,Automatic,5,1.6L,
Peugeot 807 2.2 SE 5dr,Part exchange clearance,860,2004.0,85000,Petrol,MPV, leatherhead,Manual,7,2.2L,
Honda Cr-Z 1.5 IMA GT Coupe 3dr Petrol Hybrid Manual (117 …,HYBRID-LEATHER-SUNROOF ,3650,2011.0,105000,Hybrid,Coupe, barnet,Manual,5,1.5L,
Renault Megane 1.6 VVT Privilege 4dr +LEATHER+KEYLESS+HPI CLEAR+,+LEATHER+KEYLESS+HPI CLEAR+,890,2006.0,58000,Petrol,Saloon, bradford,Manual,5,1.6L,
Saab 9-3 1.9 TiD Linear SE 4dr,NICE CLEAN CAR,1950,2009.0,99500,Diesel,Saloon, luton,Manual,5,1.9L,3 owners
Fiat Panda 1.2 Dynamic Dualogic 5dr,ONLY 450M SINCE LAST MOT/SRVC,1649,2006.0,56463,Petrol,Hatchback, wokingham,Automatic,4,1.2L,
Mercedes-Benz S Class 4.3 S430 4dr,2 OWNERS FROM NEW - HIGH SPEC,995,2000.0,132349,Petrol,Saloon, gravesend,Automatic,5,4.3L,
Vauxhall Corsa 1.4i ecoTEC Limited Edition 3dr,1OWNER BLUETOOTH DAB HPI-CLEAR,4250,2015.0,97875,Petrol,Hatchback, dunstable,Manual,5,1.4L,
Peugeot 307 1.4 16v Zest 5dr,+MARCH 2021 MOT+HISTORY,595,2005.0,116300,Petrol,Hatchback, bristol,Manual,5,1.4L,
BMW 5 Series 525d SE TOURING 2.5 5dr,"Lovely Condition,Full History.",3495,2006.0,107000,Diesel,Estate, maidenhead,Automatic,5,2.5L,4 owners
Ford KA+ STUDIO 1.2 5dr,"Bluetooth, Alloy Wheels",5600,2017.0,22107,Petrol,Hatchback, west malling,Manual,5,1.2L,
Mercedes-Benz C Class C 250 D AMG LINE 2.2 2dr,"Artico Leather, Heated Seats",17000,2016.0,61937,Diesel,Coupe,waltham cross,Automatic,4,2.1L,
Volkswagen Touran 1.9 TDI SE 5dr (7 Seats),DIESEL-MANUAL,1900,2008.0,149000,Diesel,MPV, barnet,Manual,7,1.9L,2 owners
